step,split,mean_reward,reward_std,best_group_reward,worst_group_reward,mean_ce_component,mean_compute_penalty,mean_kl,mean_advantage,advantage_std,policy_loss,total_policy_loss,routing_entropy,clip_fraction,mean_probability_ratio,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,val_loss,val_perplexity,val_accuracy,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,validation_time_sec
240,grpo_train,-1.2773630619049072,0.14280055463314056,-1.2744953632354736,-1.281348705291748,1.1778268814086914,0.09953613579273224,6.81677702232264e-05,1.9195489585399628e-05,0.9995657205581665,-1.9336584955453873e-05,-1.865490776253864e-05,0.02294861525297165,0.0,1.0000001192092896,8.770665094691069e-05,0.0016428621020168066,0.0016428621020168066,0.0,987136,0.5757708330638707,7113.941458624786,,,,,,,,,
250,grpo_train,-1.2722091674804688,0.1333845555782318,-1.2680691480636597,-1.2758005857467651,1.1726243495941162,0.09958496689796448,7.048597763059661e-05,-7.845461368560791e-06,0.9995720982551575,7.791444659233093e-06,8.496304872096516e-06,0.023382853716611862,0.0,0.9999997615814209,8.671968342740631e-05,0.0014507310697808862,0.0014507310697808862,0.0,1028096,0.5669326670467854,7224.843862563988,,,,,,,,,
260,grpo_train,-1.3098745346069336,0.2112523764371872,-1.3065590858459473,-1.3126068115234375,1.2104177474975586,0.099456787109375,7.762263703625649e-05,-4.293862730264664e-06,0.9994716048240662,4.1942112147808075e-06,4.9704376579029486e-06,0.02301613986492157,0.0,1.0,8.57014124099229e-05,0.007758050225675106,0.007758050225675106,0.0,1069056,0.5704822917468846,7179.88982174637,,,,,,,,,
270,grpo_train,-1.405095100402832,0.12190651893615723,-1.4020674228668213,-1.4100104570388794,1.3055620193481445,0.0995330810546875,8.980309212347493e-05,8.217990398406982e-06,0.9994606971740723,-8.51508229970932e-06,-7.617051323904889e-06,0.022911159321665764,0.0,1.0000003576278687,8.465284280501733e-05,0.002489587990567088,0.002489587990567088,0.0,1110016,0.6077800416387618,6739.28019906005,,,,,,,,,
280,grpo_train,-1.3454557657241821,0.13607093691825867,-1.3410433530807495,-1.3497873544692993,1.2458982467651367,0.09955749660730362,0.00010445121733937413,-3.966037184000015e-06,0.9996603727340698,3.712833859026432e-06,4.757345777761657e-06,0.02253193035721779,0.0,1.000000238418579,8.35750094242943e-05,0.002102914033457637,0.002102914033457637,0.0,1150976,0.5813291249796748,7045.922566056207,,,,,,,,,
290,grpo_train,-1.3959834575653076,0.20079921185970306,-1.3924400806427002,-1.400160789489746,1.296438217163086,0.09954528510570526,0.00010736412514233962,5.291774868965149e-06,0.9996364116668701,-5.1865354180336e-06,-4.112894202989992e-06,0.02213224396109581,0.0,1.0,8.246897595917219e-05,0.004447319079190493,0.004447319079190493,0.0,1191936,0.58200708264485,7037.715041862204,,,,,,,,,
299,validation,,,,,,,,,,,,0.022105725854635237,,,,,,,,,,1.5183556795120239,4.564713169359675,0.547314453125,0.9954506278038024,1.0,8.0,1.0,0.0,0.5546431657858193
300,grpo_train,-1.3710896968841553,0.1818278729915619,-1.3684242963790894,-1.3737818002700806,1.271538257598877,0.09955139458179474,0.00010385702626081184,8.21240246295929e-06,0.9993524551391602,-7.990747690200806e-06,-6.9521775003522635e-06,0.02203184738755226,0.0,0.9999998807907104,8.133583393114802e-05,0.003371751867234707,0.003371751867234707,0.0,1232896,0.4831312499009073,8478.027452871473,,,,,,,,,
310,grpo_train,-1.3357958793640137,0.13814392685890198,-1.3322361707687378,-1.3409693241119385,1.236226201057434,0.09956970065832138,9.379981929669157e-05,4.168134182691574e-06,0.9995682835578918,-4.4254120439291e-06,-3.4874137782026082e-06,0.022010497748851776,0.0,1.0000001192092896,8.017670161459756e-05,0.0013010100228711963,0.0013010100228711963,0.0,1273856,0.5745090828277171,7129.565262640595,,,,,,,,,
320,grpo_train,-1.3583134412765503,0.11468269675970078,-1.3559792041778564,-1.3609124422073364,1.2587010860443115,0.09961242973804474,9.673038584878668e-05,-8.679227903485298e-06,0.9993069171905518,8.486444130539894e-06,9.453748134546913e-06,0.021537382155656815,0.0,1.0000001192092896,7.899272293317355e-05,0.0029402957297861576,0.0029402957297861576,0.0,1314816,0.5839288746938109,7014.552931892226,,,,,,,,,
