step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,mor_aux_loss,mor_router_accuracy,mean_recursions_per_token,estimated_block_flops,estimated_flops_vs_full_dense,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
440,train,2.397747039794922,10.998369557807722,0.2900390625,,,,2.397747039794922,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.3904054164886475,0.0,1.3904054164886475,1806336,0.11816687509417534,34662.84436087198,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,train,2.370899200439453,10.707015709999894,0.297119140625,,,,2.370899200439453,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.6417800188064575,0.0,1.6417800188064575,1888256,0.1521675419062376,26917.698404590566,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
480,train,2.3799819946289062,10.80470831939699,0.295166015625,,,,2.3799819946289062,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.7735371589660645,0.0,1.7735371589660645,1970176,0.11906645772978663,34400.9562230834,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,train,2.3302650451660156,10.280666012802518,0.3134765625,,,,2.3302650451660156,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5140860080718994,0.0,1.5140860080718994,2052096,0.11164787504822016,36686.77078028541,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
520,train,2.3600733280181885,10.591728094388978,0.304443359375,,,,2.3600733280181885,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.4012993574142456,0.0,1.4012993574142456,2134016,0.11566275032237172,35413.30280132327,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
540,train,2.3373918533325195,10.354196053322108,0.30517578125,,,,2.3373918533325195,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.6165533065795898,0.0,1.6165533065795898,2215936,0.11443179193884134,35794.248526573174,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
560,train,2.334524393081665,10.324548334851212,0.307373046875,,,,2.334524393081665,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.5045018196105957,0.0,1.5045018196105957,2297856,0.11269583320245147,36345.62062859747,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
580,train,2.3047051429748535,10.021222988757442,0.31787109375,,,,2.3047051429748535,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.2307136058807373,0.0,2.2307136058807373,2379776,0.11547391582280397,35471.21417693463,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
599,validation,,,,2.364123725891113,10.63471580723306,0.3045166015625,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,0.4982139589264989,,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,train,2.32657790184021,10.242829520878574,0.313232421875,,,,2.32657790184021,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.1042213439941406,0.0,2.1042213439941406,2461696,0.10519279167056084,38938.02925991081,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620,train,2.271170139312744,9.690733690718334,0.320068359375,,,,2.271170139312744,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8151633739471436,0.0,1.8151633739471436,2543616,0.11498945904895663,35620.65630951557,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
640,train,2.3111016750335693,10.085529512982825,0.318115234375,,,,2.3111016750335693,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.3287739753723145,0.0,2.3287739753723145,2625536,0.11439150013029575,35806.856237871856,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
660,train,2.28975248336792,9.87249377232286,0.320068359375,,,,2.28975248336792,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.2476696968078613,0.0,2.2476696968078613,2707456,0.11552120838314295,35456.69282141698,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,train,2.3345963954925537,10.32529175398632,0.31396484375,,,,2.3345963954925537,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9566874504089355,0.0,1.9566874504089355,2789376,0.120836874935776,33896.93752157193,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,train,2.2764182090759277,9.74172502318415,0.325927734375,,,,2.2764182090759277,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8723708391189575,0.0,1.8723708391189575,2871296,0.11437283409759402,35812.70003771083,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
720,train,2.2386975288391113,9.381104708447946,0.340576171875,,,,2.2386975288391113,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.820639729499817,0.0,1.820639729499817,2953216,0.10737004084512591,38148.44408887024,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
740,train,2.23024320602417,9.302128138000068,0.349365234375,,,,2.23024320602417,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.0766353607177734,0.0,2.0766353607177734,3035136,0.11835679179057479,34607.223954224995,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
760,train,2.2205753326416016,9.21262966801217,0.343505859375,,,,2.2205753326416016,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8145537376403809,0.0,1.8145537376403809,3117056,0.10865700012072921,37696.60487082211,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
780,train,2.203805446624756,9.059423137088618,0.348388671875,,,,2.203805446624756,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.0893030166625977,0.0,2.0893030166625977,3198976,0.11002391623333097,37228.26945473829,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
799,validation,,,,2.2852476835250854,9.828120186031418,0.33121337890625,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,0.4912810418754816,,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800,train,2.21104097366333,9.1252105544565,0.35595703125,,,,2.21104097366333,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.1801466941833496,0.0,2.1801466941833496,3280896,0.10515741677954793,38951.12798925878,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
820,train,2.197082042694092,8.998717279639067,0.347900390625,,,,2.197082042694092,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9233933687210083,0.0,1.9233933687210083,3362816,0.11080520879477262,36965.77123541537,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840,train,2.1912119388580322,8.946048611330697,0.353759765625,,,,2.1912119388580322,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8402760028839111,0.0,1.8402760028839111,3444736,0.10618962487205863,38572.506541340736,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
860,train,2.169081926345825,8.750246980778265,0.36474609375,,,,2.169081926345825,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9036062955856323,0.0,1.9036062955856323,3526656,0.11169841699302197,36670.170538369275,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
880,train,2.1623709201812744,8.691720624375296,0.35498046875,,,,2.1623709201812744,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9272830486297607,0.0,1.9272830486297607,3608576,0.11227229190990329,36482.732563141886,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
900,train,2.151277542114258,8.595832924042716,0.36181640625,,,,2.151277542114258,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.805284857749939,0.0,1.805284857749939,3690496,0.0998646249063313,41015.52480512364,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
920,train,2.0956690311431885,8.130878962163987,0.36767578125,,,,2.0956690311431885,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.7795965671539307,0.0,1.7795965671539307,3772416,0.11260958295315504,36373.45856883169,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
940,train,2.054001808166504,7.79904903884787,0.387939453125,,,,2.054001808166504,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.7872591018676758,0.0,1.7872591018676758,3854336,0.10735487472265959,38153.833354857896,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
960,train,2.0655517578125,7.889649872881579,0.382568359375,,,,2.0655517578125,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.8815745115280151,0.0,1.8815745115280151,3936256,0.10972245782613754,37330.55275238531,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
980,train,2.0723507404327393,7.943474233351779,0.384765625,,,,2.0723507404327393,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,1.9567315578460693,0.0,1.9567315578460693,4018176,0.10608004219830036,38612.35266425664,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,train,2.0748515129089355,7.963363914497894,0.377197265625,,,,2.0748515129089355,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.01,2.0947465896606445,0.0,2.0947465896606445,4096000,0.15476150019094348,26466.530725964716,,0.0,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,validation,,,,2.160064709186554,8.67169877888246,0.36444091796875,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,0.8825011672452092,,,,738197504.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
