step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability
820,train,2.1916027069091797,8.94954512443033,0.34033203125,,,,2.1916027069091797,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.560363531112671,0.0,2.560363531112671,3362816,0.051900959108024836,78919.54349966306,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840,train,2.1734135150909424,8.788231659729997,0.356201171875,,,,2.1734135150909424,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.2879819869995117,0.0,2.2879819869995117,3444736,0.05745350010693073,71292.43635943237,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
860,train,2.147146701812744,8.560398149061054,0.361328125,,,,2.147146701812744,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.9835888147354126,0.0,1.9835888147354126,3526656,0.05651137512177229,72480.9826547987,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
880,train,2.107313632965088,8.2261132165074,0.373291015625,,,,2.107313632965088,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.9991570711135864,0.0,1.9991570711135864,3608576,0.05564183322712779,73613.67809864007,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
900,train,2.1188552379608154,8.321605774561164,0.3671875,,,,2.1188552379608154,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.2708332538604736,0.0,2.2708332538604736,3690496,0.05620858399197459,72871.43188991956,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
920,train,2.084603786468506,8.041404737054663,0.37646484375,,,,2.084603786468506,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.3870849609375,0.0,2.3870849609375,3772416,0.056353041902184486,72684.6299993829,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
940,train,2.087911605834961,8.068048293119023,0.37353515625,,,,2.087911605834961,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.9668489694595337,0.0,1.9668489694595337,3854336,0.05522495834156871,74169.36332782845,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
960,train,2.0396130084991455,7.687633574290488,0.386962890625,,,,2.0396130084991455,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,1.9995042085647583,0.0,1.9995042085647583,3936256,0.05670412490144372,72234.6038691043,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
980,train,2.1843857765197754,8.88518938502179,0.3515625,,,,2.1843857765197754,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,3.156965970993042,0.0,3.156965970993042,4018176,0.059071541763842106,69339.64947749469,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,train,2.0105018615722656,7.467063839529039,0.39306640625,,,,2.0105018615722656,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.01,2.368377447128296,0.0,2.368377447128296,4096000,0.05656050005927682,72418.03017489749,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,validation,,,,2.1536360502243044,8.616130191933411,0.36798095703125,,0.0,,1.0,1.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,0.26453166734427214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
