step,split,train_loss,train_perplexity,train_accuracy,val_loss,val_perplexity,val_accuracy,total_loss,density_loss,lambda_density,target_density,mean_soft_gate,mean_hard_gate,layers_per_token,compute_fraction,skip_fraction,routing_entropy,learning_rate,gradient_norm,router_gradient_norm,transformer_gradient_norm,tokens_processed,seconds_per_step,tokens_per_second,validation_time_sec,layer_0_density,layer_1_density,layer_2_density,layer_3_density,layer_4_density,layer_5_density,layer_6_density,layer_7_density,layer_0_soft_probability,layer_1_soft_probability,layer_2_soft_probability,layer_3_soft_probability,layer_4_soft_probability,layer_5_soft_probability,layer_6_soft_probability,layer_7_soft_probability
800,train,1.9469871520996094,7.007543082542379,0.42138671875,,,,1.9469871520996094,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028659321776118243,0.7917261123657227,0.0,0.7917261123657227,3280896,0.2580517088063061,15872.787740671238,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
820,train,1.8970329761505127,6.666086633665211,0.431884765625,,,,1.8970329761505127,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002858311540440085,0.9701053500175476,0.0,0.9701053500175476,3362816,0.2493230840191245,16428.482810223115,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840,train,1.9328444004058838,6.9091346639351086,0.415283203125,,,,1.9328444004058838,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002850492229490863,0.8748924732208252,0.0,0.8748924732208252,3444736,0.2436707499437034,16809.5678326033,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
860,train,1.8806519508361816,6.5577788182191945,0.455322265625,,,,1.8806519508361816,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028424755304359324,0.834007978439331,0.0,0.834007978439331,3526656,0.2348297922872007,17442.420572388553,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
880,train,1.9183237552642822,6.809534450964272,0.4326171875,,,,1.9183237552642822,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028342627614021435,0.7764139771461487,0.0,0.7764139771461487,3608576,0.24404637468978763,16783.69533334191,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
900,train,1.8394443988800049,6.293040868984175,0.441650390625,,,,1.8394443988800049,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002825855272754691,0.7116925120353699,0.0,0.7116925120353699,3690496,0.24161233333870769,16952.776968789767,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
920,train,1.8675434589385986,6.472377193859713,0.444580078125,,,,1.8675434589385986,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002817254446875081,0.8515692353248596,0.0,0.8515692353248596,3772416,0.25671754078939557,15955.279048735718,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
940,train,1.8663663864135742,6.46476321847294,0.4306640625,,,,1.8663663864135742,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00028084616979338407,0.8538593053817749,0.0,0.8538593053817749,3854336,0.25278170919045806,16203.704030317613,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
960,train,1.8383476734161377,6.286142914090801,0.443359375,,,,1.8383476734161377,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027994784716579927,0.8507854342460632,0.0,0.8507854342460632,3936256,0.26858783373609185,15250.13230504191,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
980,train,1.7941572666168213,6.014404046423792,0.45166015625,,,,1.7941572666168213,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027903062450933475,0.8351463675498962,0.0,0.8351463675498962,4018176,0.2818743330426514,14531.29824126349,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
999,validation,,,,1.9046228313446045,6.716873755573576,0.4345751953125,,0.0,,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,,,,,,,3.630846249870956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000,train,1.7834700345993042,5.95046896797913,0.473388671875,,,,1.7834700345993042,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002780946526361643,0.8038715720176697,0.0,0.8038715720176697,4100096,0.19012166699394584,21544.09891709203,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1020,train,1.8086808919906616,6.102392405974948,0.4619140625,,,,1.8086808919906616,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0002771400854412573,0.8425261378288269,0.0,0.8425261378288269,4182016,0.23544216621667147,17397.05366213185,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1040,train,1.8190261125564575,6.165850680356385,0.4580078125,,,,1.8190261125564575,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027616707987707535,0.7754181623458862,0.0,0.7754181623458862,4263936,0.28439804119989276,14402.349547552174,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1060,train,1.7924025058746338,6.003859460633795,0.457275390625,,,,1.7924025058746338,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027517579592776516,0.7835566997528076,0.0,0.7835566997528076,4345856,0.2575139170512557,15905.936451522852,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1080,train,1.8204602003097534,6.174699394705648,0.4462890625,,,,1.8204602003097534,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027416639658285407,0.9357374310493469,0.0,0.9357374310493469,4427776,0.24524166574701667,16701.892753514814,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1100,train,1.7310657501220703,5.646668640551225,0.475830078125,,,,1.7310657501220703,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027313904781045063,0.835319995880127,0.0,0.835319995880127,4509696,0.2499612090177834,16386.542600330402,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1120,train,1.7348753213882446,5.668221053815479,0.48291015625,,,,1.7348753213882446,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.00027209391852995554,0.7893530130386353,0.0,0.7893530130386353,4591616,0.23899150034412742,17138.684823946078,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
